id,pic_id,age,male,college,orientation,friend_request,char_positivity,char_outgoing,char_open,char_friendly,char_discipline,char_social,char_economic,rating,face,nose,eyes,mouth,overall_feature,skin,hair,color,acne,glasses,double_eyelid,thick_eyebrow,thick_lip,face_shape,long_hair
232,4,22,1,7,2,1,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,fair,0,1,1,0,0,long,0
232,5,22,1,7,2,1,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,fair,0,0,1,0,0,round,1
232,6,22,1,7,2,1,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,healthy,0,0,0,0,0,long,1
233,7,20,1,5,1,3,4,4,3,3,3,3,3,6,4,3,3,3,3,2,4,healthy,1,1,1,1,1,square,0
233,8,20,1,5,1,2,4,4,4,2,3,4,3,7,4,4,4,4,4,4,4,healthy,0,0,1,0,0,square,0
233,9,20,1,5,1,2,3,3,3,3,3,3,3,5,3,2,2,3,3,4,3,black,1,0,0,1,1,square,1
233,10,20,1,5,1,3,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
233,11,20,1,5,1,2,4,3,3,4,4,3,3,6,3,3,3,3,3,3,2,healthy,0,0,1,0,1,round,1
233,12,20,1,5,1,2,3,4,3,3,4,3,3,6,3,3,3,3,4,4,4,fair,0,0,1,0,0,long,0
234,1,21,0,4,1,2,2,3,3,2,4,3,3,5,3,3,3,3,3,3,2,black,0,0,1,0,0,long,1
234,2,21,0,4,1,2,2,4,4,3,3,4,3,4,2,2,2,2,2,3,3,healthy,0,1,0,1,0,square,0
234,3,21,0,4,1,3,4,4,4,4,4,4,4,7,4,4,3,4,4,4,4,healthy,0,0,0,0,0,square,0
234,4,21,0,4,1,3,4,4,4,4,4,3,3,7,4,4,4,4,4,4,4,fair,0,1,1,0,0,long,0
234,5,21,0,4,1,2,3,3,3,2,3,3,4,6,4,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
234,6,21,0,4,1,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,healthy,0,0,0,0,0,long,1
235,7,20,1,2,1,2,4,4,4,3,2,3,3,5,3,3,4,2,3,2,3,healthy,1,1,1,1,1,square,0
235,8,20,1,2,1,2,4,4,4,4,4,4,4,8,4,2,4,3,4,4,4,healthy,0,0,1,0,0,square,0
235,9,20,1,2,1,2,3,4,3,3,3,3,3,5,3,4,2,3,3,4,4,black,1,0,0,1,1,square,1
235,10,20,1,2,1,3,4,4,4,4,4,4,3,7,4,2,4,4,4,4,3,fair,0,0,1,0,0,round,1
235,11,20,1,2,1,2,4,4,4,4,4,3,3,6,4,3,3,2,3,4,3,healthy,0,0,1,0,1,round,1
235,12,20,1,2,1,3,4,3,4,3,4,4,4,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,long,0
236,1,22,1,2,1,3,5,4,4,3,3,3,4,8,4,4,4,4,4,3,4,black,0,0,1,0,0,long,1
236,2,22,1,2,1,2,3,4,4,4,3,3,3,6,3,3,3,3,3,3,2,healthy,0,1,0,1,0,square,0
236,3,22,1,2,1,2,3,4,4,4,3,3,3,6,3,3,3,3,3,2,2,healthy,0,0,0,0,0,square,0
236,4,22,1,2,1,3,4,3,4,4,3,3,3,7,3,3,4,4,4,4,4,fair,0,1,1,0,0,long,0
236,5,22,1,2,1,3,3,4,4,3,4,4,4,6,3,3,4,4,4,3,2,fair,0,0,1,0,0,round,1
236,6,22,1,2,1,1,2,2,2,2,2,4,4,4,2,2,2,2,1,2,1,healthy,0,0,0,0,0,long,1
237,1,21,1,4,2,2,3,4,4,2,3,4,3,6,4,4,4,4,4,4,2,black,0,0,1,0,0,long,1
237,2,21,1,4,2,1,3,2,2,2,3,3,3,4,3,3,3,3,3,3,2,healthy,0,1,0,1,0,square,0
237,3,21,1,4,2,2,4,2,2,2,4,4,4,6,3,3,3,3,3,2,3,healthy,0,0,0,0,0,square,0
237,4,21,1,4,2,2,2,2,2,2,4,4,3,5,3,3,3,3,3,3,3,fair,0,1,1,0,0,long,0
237,5,21,1,4,2,3,3,3,3,3,4,4,3,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
237,6,21,1,4,2,2,3,4,4,3,3,3,3,5,3,3,2,3,3,3,3,healthy,0,0,0,0,0,long,1
238,1,20,0,4,3,2,3,3,4,4,4,4,4,6,4,3,3,3,4,2,3,black,0,0,1,0,0,long,1
238,2,20,0,4,3,1,2,4,4,4,2,4,4,3,2,2,3,4,3,4,3,healthy,0,1,0,1,0,square,0
238,3,20,0,4,3,1,4,4,2,3,4,4,4,7,4,4,4,4,4,3,3,healthy,0,0,0,0,0,square,0
238,4,20,0,4,3,2,2,2,2,4,4,3,3,6,3,3,4,4,4,4,3,fair,0,1,1,0,0,long,0
238,5,20,0,4,3,3,3,4,4,4,3,4,4,8,4,3,4,3,4,4,4,fair,0,0,1,0,0,round,1
238,6,20,0,4,3,2,3,4,2,4,4,3,3,6,2,3,3,3,3,3,3,healthy,0,0,0,0,0,long,1
239,1,20,0,1,5,2,2,3,4,3,4,3,3,8,4,5,5,5,4,5,3,black,0,0,1,0,0,long,1
239,2,20,0,1,5,1,3,4,2,4,4,5,5,4,3,3,4,3,2,4,2,healthy,0,1,0,1,0,square,0
239,3,20,0,1,5,1,2,2,2,2,5,5,5,5,3,2,2,2,3,4,4,healthy,0,0,0,0,0,square,0
239,4,20,0,1,5,1,2,2,2,1,3,3,3,4,4,4,2,4,2,5,5,fair,0,1,1,0,0,long,0
239,5,20,0,1,5,1,3,3,2,1,5,4,4,5,2,2,4,2,3,4,5,fair,0,0,1,0,0,round,1
239,6,20,0,1,5,3,2,4,4,2,4,4,4,6,5,5,1,4,4,5,1,healthy,0,0,0,0,0,long,1
240,7,19,1,A,1,2,3,4,4,5,3,3,3,4,3,3,3,3,3,2,2,healthy,1,1,1,1,1,square,0
240,8,19,1,A,1,2,4,4,3,3,3,4,4,7,4,3,4,3,4,4,4,healthy,0,0,1,0,0,square,0
240,9,19,1,A,1,1,2,2,2,3,3,3,3,3,3,3,2,2,3,4,2,black,1,0,0,1,1,square,1
240,10,19,1,A,1,3,4,4,3,4,4,3,3,5,3,3,3,3,3,4,3,fair,0,0,1,0,0,round,1
240,11,19,1,A,1,2,3,4,4,4,3,3,3,5,3,3,3,3,3,3,3,healthy,0,0,1,0,1,round,1
240,12,19,1,A,1,4,5,4,4,3,4,4,4,8,4,4,5,4,4,5,4,fair,0,0,1,0,0,long,0
241,1,19,1,9,1,2,2,3,4,3,3,2,3,7,4,3,4,2,3,3,3,black,0,0,1,0,0,long,1
241,2,19,1,9,1,2,4,5,4,4,4,3,2,4,2,3,2,3,2,4,3,healthy,0,1,0,1,0,square,0
241,3,19,1,9,1,1,3,4,5,4,2,2,2,6,4,2,3,3,2,4,4,healthy,0,0,0,0,0,square,0
241,4,19,1,9,1,2,3,3,3,4,3,3,3,5,2,3,3,3,3,4,3,fair,0,1,1,0,0,long,0
241,5,19,1,9,1,2,4,4,3,4,4,3,4,6,4,4,3,4,4,3,4,fair,0,0,1,0,0,round,1
241,6,19,1,9,1,2,2,3,5,3,2,2,2,5,3,3,3,3,3,4,4,healthy,0,0,0,0,0,long,1
242,7,20,1,B,3,2,4,3,3,4,4,3,3,5,3,3,3,2,3,2,3,healthy,1,1,1,1,1,square,0
242,8,20,1,B,3,4,5,4,4,5,3,4,3,9,4,4,3,4,5,5,4,healthy,0,0,1,0,0,square,0
242,9,20,1,B,3,2,3,2,3,2,4,4,3,4,4,4,2,2,2,3,3,black,1,0,0,1,1,square,1
242,10,20,1,B,3,4,5,5,4,5,5,5,4,7,4,3,5,5,5,5,3,fair,0,0,1,0,0,round,1
242,11,20,1,B,3,3,4,5,4,5,3,3,3,6,3,2,3,3,4,4,3,healthy,0,0,1,0,1,round,1
242,12,20,1,B,3,3,4,3,3,3,5,5,4,8,4,3,4,4,4,5,5,fair,0,0,1,0,0,long,0
243,7,20,0,6,1,2,2,3,2,1,2,3,3,3,2,2,2,2,2,3,2,healthy,1,1,1,1,1,square,0
243,8,20,0,6,1,3,4,4,3,4,3,3,3,7,3,4,4,4,4,3,2,healthy,0,0,1,0,0,square,0
243,9,20,0,6,1,2,3,4,4,2,3,3,3,5,2,4,3,3,3,2,2,black,1,0,0,1,1,square,1
243,10,20,0,6,1,3,3,4,3,3,3,3,3,6,4,2,3,3,3,4,4,fair,0,0,1,0,0,round,1
